evaluations raw_y
490 0.0000148149
496 0.0000060752
498 0.0000003552
605 0.0000001042
704 0.0000000284
728 0.0000000257
764 0.0000000040
898 0.0000000032
994 0.0000000021
1011 0.0000000017
1066 0.0000000014
1073 0.0000000011
1112 0.0000000005
1337 0.0000000003
1398 0.0000000002
1538 0.0000000001
8000 0.0000000000
evaluations raw_y
1 26.5949616279
2 13.3846901172
4 4.4204181758
11 2.8946712563
13 1.6527610756
165 1.5954207187
226 1.4712802454
247 0.6908893674
261 0.6871713251
309 0.1073602027
355 0.0618601439
385 0.0100317339
548 0.0096281953
553 0.0000316840
808 0.0000078550
898 0.0000053217
950 0.0000051139
974 0.0000027158
1040 0.0000005477
1068 0.0000002720
1110 0.0000001257
1131 0.0000000931
1173 0.0000000252
1276 0.0000000194
1295 0.0000000002
1357 0.0000000000
8000 0.0000000000
evaluations raw_y
1 5.0657542137
2 4.1278332245
3 1.8690685759
4 0.0118655161
5 0.0039148612
6 0.0035933649
28 0.0013318025
84 0.0011563697
176 0.0011065310
234 0.0010676867
238 0.0010318198
256 0.0009858042
274 0.0008683948
430 0.0008604643
491 0.0008380246
650 0.0008329195
679 0.0008298779
692 0.0008226984
787 0.0008206999
899 0.0008204139
917 0.0008202789
927 0.0008189086
962 0.0008182591
1053 0.0008182178
1064 0.0008181259
1077 0.0008168366
1237 0.0008167707
1239 0.0008165732
1386 0.0008165583
1410 0.0008165566
1441 0.0008165560
1504 0.0008165558
1508 0.0008165513
1528 0.0008165498
1562 0.0008165489
1625 0.0008165484
1719 0.0008165482
8000 0.0008165482
evaluations raw_y
1 3.5683988289
2 3.2961043011
8 3.1801929819
10 1.0043826927
11 0.9783700741
15 0.6801148743
125 0.6692131828
148 0.5580963618
157 0.3562854295
195 0.2914519570
251 0.1174820437
293 0.0528161977
320 0.0087981575
343 0.0052924078
458 0.0015192910
581 0.0005639236
615 0.0004259016
656 0.0001391897
661 0.0000541919
743 0.0000356476
783 0.0000031013
876 0.0000027371
918 0.0000023952
920 0.0000005047
1043 0.0000001949
1060 0.0000001330
1092 0.0000000379
1101 0.0000000006
1220 0.0000000004
1343 0.0000000001
1449 0.0000000000
8000 0.0000000000
evaluations raw_y
1 1.3648994468
3 0.0833042405
20 0.0000000012
40 0.0000000008
90 0.0000000006
167 0.0000000004
415 0.0000000003
569 0.0000000001
8000 0.0000000000
evaluations raw_y
1 0.3668582389
2 0.3500404092
4 0.3011159586
7 0.0515121522
42 0.0507640499
48 0.0138635713
139 0.0116893785
163 0.0098389992
202 0.0065158448
259 0.0045315840
267 0.0022134450
283 0.0012156177
295 0.0011695619
338 0.0007301278
355 0.0006638185
371 0.0003695210
387 0.0001461359
388 0.0000011624
743 0.0000006388
809 0.0000004418
823 0.0000002878
846 0.0000001366
1009 0.0000000835
1013 0.0000000661
1090 0.0000000595
1097 0.0000000534
1115 0.0000000530
1126 0.0000000528
1139 0.0000000123
1157 0.0000000079
1239 0.0000000065
1247 0.0000000024
1475 0.0000000023
1551 0.0000000011
1585 0.0000000007
1684 0.0000000004
1752 0.0000000002
1816 0.0000000001
8000 0.0000000000
evaluations raw_y
1 50.1296589745
4 44.8627126676
5 36.0221686487
6 17.7087006105
7 10.0709628369
22 4.8756896604
25 1.2820757607
84 0.1036447852
337 0.0459402172
437 0.0082956000
600 0.0024972137
776 0.0004226804
879 0.0002347367
1018 0.0001857068
1061 0.0001349725
1099 0.0000374642
1147 0.0000185119
1153 0.0000070741
1182 0.0000020538
1247 0.0000013620
1320 0.0000010108
1349 0.0000001196
1451 0.0000001160
1462 0.0000001120
1473 0.0000000757
1480 0.0000000466
1500 0.0000000383
1506 0.0000000210
1572 0.0000000185
1589 0.0000000123
1610 0.0000000068
1625 0.0000000012
1794 0.0000000011
1807 0.0000000006
1931 0.0000000002
2343 0.0000000001
2732 0.0000000000
8000 0.0000000000
evaluations raw_y
1 592.1367566509
3 320.5586232106
5 261.8146219523
6 143.1598422182
8 123.6719732811
14 64.5414864396
26 50.8415717133
29 30.6547409298
36 9.3992348657
65 0.2085074137
325 0.0215415449
329 0.0209309928
341 0.0004785059
886 0.0002341503
989 0.0001463133
1010 0.0000367340
1119 0.0000348746
1172 0.0000163886
1185 0.0000073374
1283 0.0000013904
1441 0.0000006658
1518 0.0000003119
1564 0.0000000922
1651 0.0000000351
1694 0.0000000116
1711 0.0000000065
1716 0.0000000026
1760 0.0000000015
1927 0.0000000008
1984 0.0000000003
1996 0.0000000000
8000 0.0000000000
evaluations raw_y
1 24.2068848919
2 2.8016451165
35 1.9308861630
67 1.2390202173
122 1.1044920509
171 0.3206567323
297 0.1368288758
430 0.0777129899
462 0.0588299794
465 0.0052877708
718 0.0020671875
794 0.0017447818
802 0.0015926423
804 0.0012995546
843 0.0005099967
851 0.0003602202
921 0.0000729839
951 0.0000340121
1099 0.0000226071
1124 0.0000075623
1139 0.0000069252
1225 0.0000067408
1226 0.0000061148
1319 0.0000023029
1325 0.0000017299
1338 0.0000011675
1475 0.0000003369
1514 0.0000003008
1589 0.0000000969
1658 0.0000000963
1707 0.0000000690
1722 0.0000000500
1742 0.0000000492
1743 0.0000000147
1762 0.0000000109
1894 0.0000000093
1939 0.0000000034
2039 0.0000000021
2095 0.0000000013
2134 0.0000000006
2253 0.0000000004
2288 0.0000000003
2323 0.0000000001
2525 0.0000000000
8000 0.0000000000
evaluations raw_y
1 5.7921742875
2 4.3727920369
3 2.4905350863
5 0.5068496055
38 0.4891707469
59 0.4494750439
65 0.2066641430
120 0.1085437467
122 0.0834635925
153 0.0786648862
173 0.0286531592
260 0.0255667800
280 0.0125533922
353 0.0103672641
383 0.0064481597
391 0.0047989398
442 0.0030342105
516 0.0015937306
591 0.0006402765
727 0.0005215884
732 0.0003090325
772 0.0001174841
1025 0.0001149629
1044 0.0000787522
1057 0.0000141539
1196 0.0000107013
1229 0.0000061003
1464 0.0000038099
1535 0.0000010796
1786 0.0000008132
1852 0.0000005543
1891 0.0000003009
2089 0.0000002107
2104 0.0000002081
2284 0.0000001869
2285 0.0000001417
2327 0.0000000794
2348 0.0000000320
2606 0.0000000148
3083 0.0000000094
3087 0.0000000079
3109 0.0000000025
3618 0.0000000007
3824 0.0000000006
3885 0.0000000004
3896 0.0000000002
4191 0.0000000001
5572 0.0000000000
8000 0.0000000000
evaluations raw_y
1 2.5485557770
2 0.2004138424
30 0.1043505087
42 0.0794531379
52 0.0713493265
84 0.0556288829
90 0.0318641724
102 0.0057810332
109 0.0012165583
145 0.0003427299
200 0.0000329653
260 0.0000255321
374 0.0000204652
384 0.0000136955
388 0.0000133862
394 0.0000066048
421 0.0000050473
439 0.0000041203
