evaluations raw_y
1226 0.0000051066
1327 0.0000048118
1385 0.0000019918
1425 0.0000016637
1493 0.0000015956
1534 0.0000015449
1537 0.0000013484
1549 0.0000012176
1566 0.0000008664
1634 0.0000006841
1640 0.0000003635
1647 0.0000003318
1748 0.0000002964
1765 0.0000002736
1814 0.0000002304
1837 0.0000000366
2103 0.0000000181
2214 0.0000000158
2220 0.0000000091
2298 0.0000000073
2327 0.0000000070
2395 0.0000000039
2533 0.0000000031
2582 0.0000000029
2684 0.0000000018
2745 0.0000000016
2777 0.0000000013
2810 0.0000000009
2844 0.0000000006
2905 0.0000000003
3206 0.0000000002
3399 0.0000000000
8000 0.0000000000
evaluations raw_y
1 15.6173898736
2 4.4243902955
4 1.5617677382
18 0.7759715460
22 0.4985094422
89 0.3898077683
107 0.1989805872
188 0.0593164886
211 0.0297204190
320 0.0245548834
321 0.0132726908
377 0.0080322256
415 0.0065397441
466 0.0040659608
559 0.0034067319
572 0.0028483447
597 0.0021109080
611 0.0018287541
612 0.0009729513
632 0.0009153411
658 0.0003936271
710 0.0003758255
757 0.0003102062
796 0.0002085785
811 0.0000550608
828 0.0000334746
988 0.0000123852
1073 0.0000016828
